"Group","Pre_Adj_Mean","Pre_CI_Lower","Pre_CI_Upper","Post_Adj_Mean","Post_CI_Lower","Post_CI_Upper","Improvement_Adj_Mean","Improvement_CI_Lower","Improvement_CI_Upper"
"Control",30,20.3638934125301,39.6361065874699,54.7811323540267,43.7655704820142,65.7966942260392,24.7811323540267,13.7655704820142,35.7966942260392
"Treatment",30,20.3638934125301,39.6361065874699,81.0083413301838,69.9927794581713,92.0239032021964,51.0083413301838,39.9927794581713,62.0239032021964
