"Group","Metric","NonAdjusted_Mean","NonAdjusted_CI_Lower","NonAdjusted_CI_Upper","Adjusted_Mean","Adjusted_CI_Lower","Adjusted_CI_Upper"
"Control","Pre-study",23.1578947368421,14.540796628478,31.7749928452062,30,30,30
"Control","Post-study",52.6315789473684,43.5339077724797,61.7292501222572,54.7811323540267,43.7655704820142,65.7966942260392
"Control","Improvement",29.4736842105263,19.3663160087263,39.5810524123264,24.7811323540267,13.7655704820142,35.7966942260392
"Treatment","Pre-study",36.8421052631579,20.6259233682799,53.0582871580359,30,30,30
"Treatment","Post-study",83.1578947368421,70.3471036561451,95.9686858175391,81.0083413301838,69.9927794581713,92.0239032021964
"Treatment","Improvement",46.3157894736842,29.8823198842926,62.7492590630759,51.0083413301838,39.9927794581713,62.0239032021964
