player,year,is_hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Hit
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1995,Miss
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Hit
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
Derek Jeter,1996,Miss
